Broker Symbol,Symbol,Tick Value,Target Spread,Margin Req
AUD/CAD,AUDCAD,1,5,0
AUD/CHF,AUDCHF,1,5,0
AUD/JPY,AUDJPY,1,5,0
AUD/NZD,AUDNZD,1,5,0
AUD/USD,AUDUSD,1,5,0
AUS200,AUS200,1,2,80
Bund,DE10YB,1,3,290
CAD/CHF,CADCHF,1,5,0
CAD/JPY,CADJPY,1,5,0
CHF/JPY,CHFJPY,1,5,0
CHN50,CHN50,1,15,0
Copper,Copper,1,2,30
ESP35,ESP35,1,8,170
EUR/AUD,EURAUD,1,5,0
EUR/CAD,EURCAD,1,5,0
EUR/CHF,EURCHF,1,5,0
EUR/GBP,EURGBP,1,5,0
EUR/JPY,EURJPY,1,5,0
EUR/NOK,EURNOK,1,5,0
EUR/NZD,EURNZD,1,5,0
EUR/SEK,EURSEK,1,5,0
EUR/TRY,EURTRY,1,5,0
EUR/USD,EURUSD,1,5,0
EUSTX50,EUSTX50,1,1,60
FRA40,FRA40,1,2,90
GBP/AUD,GBPAUD,1,5,0
GBP/CAD,GBPCAD,1,5,0
GBP/CHF,GBPCHF,1,5,0
GBP/JPY,GBPJPY,1,5,0
GBP/NZD,GBPNZD,1,5,0
GBP/USD,GBPUSD,1,5,0
GER30,DE30EUR,1,0.9,210
HKG33,HKG33,1,10,520
JPN225,JPN225,1,5,30
NAS100,NAS100,1,1,30
NGAS,NATGAS,1,10,30
NZD/CAD,NZDCAD,1,5,0
NZD/CHF,NZDCHF,1,5,0
NZD/JPY,NZDJPY,1,5,0
NZD/USD,NZDUSD,1,5,0
SPX500,SPX500,1,5,100
SOYF,SOYF,1,7.5,0
TRY/JPY,TRYJPY,1,5,0
UK100,UK100,1,5,160
UKOil,BCOUSD,1,5,70
USOil,WTIUSD,1,5,70
US30,US30USD,1,2,80
USD/MXN,USDMXN,1,5,0
USDOLLAR,DXYUSD,1,5,0
USD/CAD,USDCAD,1,5,0
USD/CHF,USDCHF,1,5,0
USD/CNH,USDCNH,1,5,0
USD/HKD,USDHKD,1,5,0
USD/JPY,USDJPY,1,5,0
USD/NOK,USDNOK,1,5,0
USD/SEK,USDSEK,1,5,0
USD/TRY,USDTRY,1,5,0
USD/ZAR,USDZAR,1,5,0
XAG/USD,XAGUSD,5,4.5,110
XAU/USD,XAUUSD,0.1,40,70
ZAR/JPY,ZARJPY,1,5,0
